car-id,initial-timestamp,car-type,time-taken-hours,distance-travelled-km,avg-kmh,route-taken,sensor-count,unique-sensors,number-campings,trace-complete
20154602044612-82,2015-05-02 16:46:12,2P,6.441944444444444,298.56549888,46.34710861834333,ranger-base/gate8/general-gate5/general-gate2/ranger-stop0/ranger-stop2/ranger-stop2/general-gate1/general-gate4/gate7/ranger-stop7/ranger-stop7/gate7/gate6/ranger-stop6/ranger-stop6/gate5/gate4/ranger-stop5/ranger-stop5/gate4/general-gate3/camping8/gate3/ranger-stop3/ranger-stop3/gate3/general-gate5/gate5/ranger-stop6/gate6/general-gate7/gate2/ranger-stop1/ranger-stop1/gate2/general-gate7/ranger-stop4/ranger-stop4/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/ranger-stop0/general-gate2/general-gate5/gate8/ranger-base,49,23,1,True
20150802110852-346,2015-05-02 23:08:52,2,0.6025,31.285647360000002,51.92638565975104,entrance0/general-gate4/general-gate7/entrance1,4,4,0,True
20151003121025-950,2015-05-03 00:10:25,1,0.5705555555555556,51.853063680000005,90.8817084946446,entrance0/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,7,7,0,True
20151703121720-618,2015-05-03 00:17:20,2,0.5086111111111111,26.45761536,52.019342051338064,entrance1/general-gate7/entrance3,3,3,0,True
20152503012502-560,2015-05-03 01:25:02,2,0.47555555555555556,28.195706879999996,59.29003783177569,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,6,6,0,True
20150903020928-497,2015-05-03 02:09:28,2,0.4047222222222222,20.85709824,51.53435392175704,entrance3/entrance0,2,2,0,True
20154003044005-17,2015-05-03 04:40:05,2,0.7905555555555556,46.63878912,58.99495461419536,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,6,6,0,True
20155003055049-24,2015-05-03 05:50:49,3,0.44972222222222225,26.45761536,58.83101624212476,entrance3/general-gate7/entrance1,3,3,0,True
20155703055759-583,2015-05-03 05:57:59,3,0.34305555555555556,23.85047808,69.5236608,entrance4/entrance2,2,2,0,True
20155801105820-248,2015-05-01 10:58:20,2,43.59638888888889,82.36622592,1.8892900999190811,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping5/camping5/general-gate7/general-gate4/entrance0,12,9,2,True
20151403061425-243,2015-05-03 06:14:25,2,0.5408333333333334,26.45761536,48.9200900338983,entrance3/general-gate7/entrance1,3,3,0,True
20154003064055-201,2015-05-03 06:40:55,3,0.2947222222222222,23.85047808,80.92527906503298,entrance4/entrance2,2,2,0,True
20155403055443-412,2015-05-03 05:54:43,2,1.0763888888888888,80.72469504000001,74.99584571458067,entrance1/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,9,9,0,True
20155103065157-254,2015-05-03 06:51:57,5,0.45861111111111114,26.45761536,57.690742153846145,entrance1/general-gate7/entrance3,3,3,0,True
20155803065823-477,2015-05-03 06:58:23,3,0.5386111111111112,31.285647360000002,58.08578158638473,entrance0/general-gate4/general-gate7/entrance1,4,4,0,True
20150903080915-957,2015-05-03 08:09:15,2,0.8311111111111111,46.63878912,56.11619011764706,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,6,6,0,True
20154303084322-126,2015-05-03 08:43:22,1,0.48694444444444446,28.195706879999996,57.90333415173986,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,6,6,0,True
20153703103702-660,2015-05-03 10:37:02,1,0.37277777777777776,20.85709824,55.95048708196721,entrance0/entrance3,2,2,0,True
20153002013028-298,2015-05-02 13:30:28,3,21.550555555555555,35.05151232,1.6264783629192339,entrance0/general-gate4/general-gate7/camping4/camping4/entrance1,6,5,2,True
20153903103918-43,2015-05-03 10:39:18,2,0.6436111111111111,36.59648256,56.86117273025464,entrance3/general-gate7/camping2/camping2/entrance1,5,4,2,True
20155303105327-375,2015-05-03 10:53:27,4,0.5738888888888889,31.285647360000002,54.515164809293324,entrance1/general-gate7/general-gate4/entrance0,4,4,0,True
20153203103200-611,2015-05-03 10:32:00,2P,1.9938888888888888,83.33183232,41.79361888436891,ranger-base/gate8/gate5/ranger-stop6/ranger-stop6/gate5/gate4/ranger-stop5/ranger-stop5/gate4/general-gate3/camping8/gate3/ranger-stop3/ranger-stop3/gate3/general-gate5/gate8/ranger-base,19,11,1,True
20151803121817-229,2015-05-03 12:18:17,1,1.0380555555555555,80.72469504,77.7652935895103,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/entrance1,9,9,0,True
20150303100343-74,2015-05-03 10:03:43,2P,4.356944444444444,133.35024384,30.606367728657954,ranger-base/gate8/gate5/ranger-stop6/gate6/general-gate7/ranger-stop4/ranger-stop4/camping5/camping5/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/ranger-stop0/ranger-stop2/general-gate1/general-gate4/gate7/ranger-stop7/ranger-stop7/gate7/gate6/ranger-stop6/gate5/gate8/ranger-base,28,14,2,True
20150403020416-490,2015-05-03 14:04:16,1,1.4136111111111112,101.19555072,71.58655582471998,entrance3/general-gate7/camping5/camping5/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,12,10,2,True
20152002042015-193,2015-05-02 16:20:15,3,23.273055555555555,101.29211136,4.352334016399508,entrance4/general-gate5/camping8/camping8/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/entrance1,11,10,2,True
20153103033157-551,2015-05-03 15:31:57,4,0.37527777777777777,20.85709824,55.577759928941525,entrance3/entrance0,2,2,0,True
20155803035851-140,2015-05-03 15:58:51,3,1.1558333333333333,83.33183232,72.09675471088681,entrance4/camping6/camping6/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/entrance1,11,10,2,True
20151103051105-693,2015-05-03 17:11:05,5,0.5102777777777778,26.45761536,51.84943674251496,entrance3/general-gate7/entrance1,3,3,0,True
20154803054807-805,2015-05-03 17:48:07,1,0.9355555555555556,70.29614592,75.13839825178147,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,7,7,0,True
20155203065209-82,2015-05-03 18:52:09,2,0.5975,51.853063680000005,86.78337017573222,entrance0/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,7,7,0,True
20154803064813-28,2015-05-03 18:48:13,1,0.9527777777777777,80.72469504000001,84.72562744723034,entrance1/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,9,9,0,True
20150803050829-770,2015-05-03 17:08:29,2P,2.673888888888889,99.36089856,37.15969611635155,ranger-base/gate8/general-gate5/gate3/ranger-stop3/ranger-stop3/gate3/general-gate5/gate5/ranger-stop6/gate6/gate7/ranger-stop7/ranger-stop7/gate7/gate6/ranger-stop6/gate5/gate8/ranger-base,20,10,0,True
20151203081248-820,2015-05-03 20:12:48,4,0.5102777777777778,28.195706879999996,55.25560411976046,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,6,6,0,True
20152803082805-619,2015-05-03 20:28:05,4,0.5305555555555556,51.85306368,97.73352316649215,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,7,7,0,True
20154403084410-270,2015-05-03 20:44:10,3,0.31777777777777777,23.85047808,75.053952,entrance4/entrance2,2,2,0,True
20155903115957-556,2015-05-03 23:59:57,2,0.4147222222222222,20.85709824,50.291730518419286,entrance0/entrance3,2,2,0,True
20151704021745-210,2015-05-04 02:17:45,1,0.4027777777777778,20.85709824,51.78314045793103,entrance3/entrance0,2,2,0,True
20153704023750-346,2015-05-04 02:37:50,6,0.8977777777777778,57.06733824000001,63.56510447524754,entrance1/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,8,8,0,True
20154804054851-733,2015-05-04 05:48:51,3,0.4930555555555556,31.285647360000002,63.45258056112676,entrance1/general-gate7/general-gate4/entrance0,4,4,0,True
20150704060747-94,2015-05-04 06:07:47,1,0.37527777777777777,20.85709824,55.577759928941525,entrance3/entrance0,2,2,0,True
20150804070850-234,2015-05-04 07:08:50,6,0.5419444444444445,28.19570688,52.02693222347514,entrance0/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,6,6,0,True
20152104072125-25,2015-05-04 07:21:25,1,0.5830555555555555,31.285647360000002,53.65808980276322,entrance0/general-gate4/general-gate7/entrance1,4,4,0,True
20153404073436-211,2015-05-04 07:34:36,1,0.5413888888888889,28.195706879999996,52.08032055823498,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,6,6,0,True
20151304091319-319,2015-05-04 09:13:19,1,0.43027777777777776,26.45761536,61.48961607230471,entrance1/general-gate7/entrance3,3,3,0,True
20155304075353-452,2015-05-04 07:53:53,3,2.2055555555555557,139.14388224,63.08790630528967,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping3/camping3/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,17,10,2,True
20155304115351-36,2015-05-04 11:53:51,2,0.5513888888888889,28.195706879999996,51.13579081511334,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,6,6,0,True
20152904102929-831,2015-05-04 10:29:29,2P,2.4277777777777776,83.33183232,34.32432452540046,ranger-base/gate8/general-gate5/gate3/ranger-stop3/ranger-stop3/gate3/camping8/general-gate3/gate4/ranger-stop5/ranger-stop5/gate4/gate5/ranger-stop6/ranger-stop6/gate5/gate8/ranger-base,19,11,1,True
20153504103546-744,2015-05-04 10:35:46,2P,2.3780555555555556,99.36089856,41.78241266394112,ranger-base/gate8/general-gate5/gate3/ranger-stop3/ranger-stop3/gate3/general-gate5/gate5/ranger-stop6/gate6/gate7/ranger-stop7/ranger-stop7/gate7/gate6/ranger-stop6/gate5/gate8/ranger-base,20,10,0,True
20153203033246-681,2015-05-03 15:32:46,1,22.198611111111113,67.97869055999999,3.062294763386097,entrance0/general-gate4/general-gate7/camping0/camping0/general-gate7/entrance3,7,5,2,True
20155704015750-993,2015-05-04 13:57:50,1,0.5777777777777777,31.285647360000002,54.14823581538462,entrance1/general-gate7/general-gate4/entrance0,4,4,0,True
20154304014359-573,2015-05-04 13:43:59,1,1.5363888888888888,89.70483456,58.386802461760986,entrance0/general-gate4/general-gate7/camping3/camping3/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,12,9,2,True
20154001044056-714,2015-05-01 16:40:56,3,70.85138888888889,93.76038143999999,1.3233386516535,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping0/camping0/general-gate7/entrance3,11,9,2,True
20154004024058-952,2015-05-04 14:40:58,4,1.0494444444444444,57.06733824,54.378617698253045,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/entrance1,8,8,0,True
20153003023054-91,2015-05-03 14:30:54,3,25.463333333333335,171.68481792000003,6.742432959287866,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping0/camping0/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,18,9,2,True
20155403055431-257,2015-05-03 17:54:31,3,22.305555555555557,101.00242944000001,4.528128841643836,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/general-gate6/camping7/camping7/general-gate6/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,16,8,2,True
20155404035404-301,2015-05-04 15:54:04,4,0.5208333333333334,51.853063680000005,99.5578822656,entrance0/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,7,7,0,True
20150604030648-583,2015-05-04 15:06:48,1,1.4836111111111112,87.48393984000002,58.96689448118331,entrance1/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate0/camping1/camping1/general-gate0/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,16,10,2,True
20154002074031-133,2015-05-02 07:40:31,1,57.03916666666667,151.98644736,2.6645979638552455,entrance1/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/camping6/camping6/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,16,10,2,True
20152204042233-205,2015-05-04 16:22:33,5,0.8158333333333333,46.63878912,57.167055101123594,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,6,6,0,True
20153602023647-120,2015-05-02 14:36:47,2,50.62305555555555,115.48652544,2.2813029393941058,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping3/camping3/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,16,8,2,True
20155003035017-260,2015-05-03 15:50:17,1,26.523055555555555,51.756503040000005,1.951377846779008,entrance0/general-gate4/general-gate7/camping5/camping5/general-gate7/entrance3,7,5,2,True
20151504061538-491,2015-05-04 18:15:38,1,0.5252777777777777,51.85306368,98.71550991433105,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,7,7,0,True
20152404052454-27,2015-05-04 17:24:54,2P,2.693888888888889,99.36089856,36.8838146850897,ranger-base/gate8/gate5/ranger-stop6/gate6/gate7/ranger-stop7/ranger-stop7/gate7/gate6/ranger-stop6/gate5/general-gate5/gate3/ranger-stop3/ranger-stop3/gate3/general-gate5/gate8/ranger-base,20,10,0,True
20151204071251-825,2015-05-04 19:12:51,2,0.9041666666666667,46.63878912,51.58207091612903,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,6,6,0,True
20154804074827-231,2015-05-04 19:48:27,2,0.5388888888888889,26.45761536,49.09660582268041,entrance3/general-gate7/entrance1,3,3,0,True
20150204080227-619,2015-05-04 20:02:27,4,0.9422222222222222,80.72469504000001,85.67479426415096,entrance1/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,9,9,0,True
20151804101823-786,2015-05-04 22:18:23,5,0.3705555555555556,23.85047808,64.36410876161918,entrance4/entrance2,2,2,0,True
20155201095259-137,2015-05-01 09:52:59,1,85.13277777777778,72.42048000000001,0.8506768120387109,entrance4/general-gate5/camping8/camping8/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,9,8,2,True
20151904111928-259,2015-05-04 23:19:28,1,0.49333333333333335,31.285647360000002,63.41685275675676,entrance1/general-gate7/general-gate4/entrance0,4,4,0,True
20152904112957-341,2015-05-04 23:29:57,4,0.32166666666666666,23.85047808,74.1465639792746,entrance2/entrance4,2,2,0,True
